api,tool,run,interactions,2XX,4XX,5XX,401,403,covered_operations,unique_5XX,branch_coverage,line_coverage,method_coverage,area_2XX,area_4XX,area_5XX,area_401,area_403,area_covered_operations,area_unique_5XX,area_branch_coverage,area_line_coverage,area_method_coverage
user-management,deeprest-e20-s20,run-20240602-132702,21000,2652,11389,6959,-,-,14,4,0.1029723991507431,0.8607594936708861,0.6189320388349514,319068,1251373,645059,-,-,2708,798,20.731422505307947,174.68987341772115,127.6140776699032
user-management,arat-rl,run-20240602-095155,21000,3142,12045,5813,-,-,12,2,0.09023354564755838,0.6550632911392406,0.5145631067961165,330413,1286223,598864,-,-,2383,410,18.1995753715499,132.5585443037978,104.92233009708744
user-management,morest,run-20240605-184400,21000,564,13036,7400,-,-,12,3,0.06900212314225053,0.5490506329113924,0.38106796116504854,85002,1352349,778149,-,-,2472,626,14.223991507431055,113.99367088607576,79.4466019417476
scs,arat-rl,run-20240531-174416,21000,18582,2418,0,-,-,11,0,0.4365079365079365,0.6406779661016949,0.717948717948718,1963559,251941,0,-,-,2308,0,86.36507936507932,131.35932203389808,148.4102564102564
genome-nexus,morest,run-20240603-235548,3900,214,3049,637,-,-,11,1,0.12561750176429076,0.24549782653694888,0.2246670526925304,6899,58619,12482,-,-,389,39,4.621030345800986,9.273235354998963,8.411117544875509
genome-nexus,deeprest-e20-s20,run-20240531-203637,3900,2935,965,0,-,-,22,0,0.3613267466478476,0.425584765058994,0.36942675159235666,57377,20623,0,-,-,812,0,13.005645730416378,15.451045332229363,13.342211928199184
languagetool,morest,run-20240604-000836,20800,20,20780,0,-,-,1,0,0.005906787088906673,0.01897245366808099,0.042731629392971246,4160,2169440,0,-,-,208,0,1.2210662703403092,3.9293864180974936,8.854233226837078
user-management,arat-rl,run-20240601-200104,21000,2800,12770,5430,-,-,12,3,0.09129511677282377,0.680379746835443,0.5218446601941747,321843,1346175,547482,-,-,2374,572,18.45966029723985,134.992088607595,105.28155339805843
blog,deeprest-e20-s20,run-20240531-183355,25900,6010,10863,9027,-,-,26,13,0.04773869346733668,0.5387205387205387,0.4533508541392904,836192,1430533,1100275,-,-,6438,3058,11.857412060301444,135.59006734006738,114.72273324572882
genome-nexus,schemathesis,run-20240603-232635,3900,3174,618,108,-,-,15,1,0.1834862385321101,0.2881391016352722,0.25709322524609146,62090,13654,2256,-,-,554,39,6.998588567395902,11.075760712067888,9.82165605095541
market,schemathesis,run-20240603-140526,20100,4892,6444,8764,-,-,9,3,0.017716535433070866,0.2633726201269266,0.34054054054054056,489464,648605,892031,-,-,1799,601,3.549212598425192,52.717135086128955,68.0945945945944
restcountries,schemathesis,run-20240603-160804,16300,1169,15066,65,-,-,13,1,0.8045454545454546,0.7255985267034991,0.8352272727272727,100091,1231147,5362,-,-,1816,152,122.06818181818147,111.98158379373827,130.92045454545402
genome-nexus,arat-rl,run-20240531-202716,3900,2038,1346,516,-,-,20,1,0.2180663373323924,0.3183605878700062,0.2698320787492762,39281,27932,10787,-,-,745,39,7.839802399435432,11.94038501345478,10.18066010422699
person-controller,resttestgen,run-20240601-144024,17900,3379,151,14370,-,-,8,26,0.03333333333333333,0.7318435754189944,0.8172043010752689,299019,24847,1287134,-,-,1396,4102,5.649999999999991,129.70949720670362,144.83870967741905
person-controller,resttestgen,run-20240601-114105,17900,3468,126,14306,-,-,8,27,0.03333333333333333,0.7318435754189944,0.8172043010752689,318431,21534,1271035,-,-,1408,4310,5.583333333333324,130.06703910614496,145.23655913978462
ncs,arat-rl,run-20240531-152221,22000,10731,11269,0,-,-,6,0,0.875,0.9309090909090909,0.8620689655172413,1176771,1254229,0,-,-,1314,0,182.17857142857207,197.39272727272717,186.89655172413742
blog,arat-rl,run-20240601-143103,25900,3234,14728,7938,-,-,19,11,0.0414572864321608,0.45454545454545453,0.40341655716162944,367907,1991804,1007289,-,-,4444,2457,10.136306532663315,113.0648148148151,100.22733245729279
blog,deeprest-e20-s20,run-20240602-080130,25900,6270,11750,7880,-,-,24,13,0.04459798994974874,0.51010101010101,0.4375821287779238,880503,1511684,974813,-,-,6049,3326,11.30213567839191,130.18265993266,111.87253613666188
market,schemathesis,run-20240603-152601,20100,7446,3542,9112,-,-,9,3,0.017716535433070866,0.26518585675430645,0.34324324324324323,742932,369003,918165,-,-,1802,603,3.5551181102362155,53.18313689936551,68.80270270270266
languagetool,deeprest-e20-s20,run-20240601-115246,20800,11192,9567,41,-,-,2,2,0.22853549788498914,0.39101281684877,0.376863684771033,1207419,961658,4523,-,-,416,416,44.97545825235319,78.17725943676223,74.5863951011716
blog,resttestgen,run-20240601-194223,25900,1796,13206,10898,-,-,21,10,0.03768844221105527,0.45454545454545453,0.39947437582128775,206279,1689755,1470966,-,-,5298,2281,9.252512562814019,114.26430976430946,101.14191852825175
ncs,schemathesis,run-20240603-225501,22000,13275,8725,0,-,-,6,0,0.6369047619047619,0.7927272727272727,0.8620689655172413,1461459,969541,0,-,-,1315,0,139.16666666666626,173.3090909090905,188.48275862068914
scs,restler,run-20240604-182712,21000,19428,1572,0,-,-,11,0,0.3492063492063492,0.6135593220338983,0.717948717948718,1956946,258554,0,-,-,2218,0,70.64682539682535,124.2237288135589,145.71794871794867
project-tracking-system,morest,run-20240603-235805,21700,172,21123,405,-,-,16,1,0.041666666666666664,0.2950693374422188,0.37945492662473795,19964,2300380,44956,-,-,3046,216,9.020833333333341,63.45839753466868,80.48008385744218
genome-nexus,restler,run-20240604-212700,3900,1910,1990,0,-,-,13,0,0.1771347918136909,0.2873111157110329,0.2501447596988998,35197,42803,0,-,-,241,0,5.913902611150316,10.002069964810596,8.184134337000579
genome-nexus,schemathesis,run-20240603-212355,3900,3227,575,98,-,-,15,1,0.20465772759350742,0.3028358517905196,0.2617255356108859,64143,12019,1838,-,-,542,39,7.4820042342978095,11.362864831297864,9.79444122756224
market,morest,run-20240604-205308,20100,2655,14536,2909,-,-,9,2,0.017716535433070866,0.26246600181323665,0.33918918918918917,280733,1453349,296018,-,-,1805,401,3.561023622047239,52.72665457842262,68.13378378378391
scs,arat-rl,run-20240531-151741,21000,18588,2412,0,-,-,11,0,0.4087301587301587,0.6305084745762712,0.717948717948718,1956330,259170,0,-,-,2309,0,83.15079365079389,130.1728813559326,149.00000000000003
features-service,resttestgen,run-20240601-195954,16400,8366,717,7317,-,-,16,11,0.32142857142857145,0.6695842450765864,0.6994219653179191,653434,53051,646515,-,-,2433,1514,49.380952380952316,103.64551422319508,109.00578034682125
languagetool,morest,run-20240604-191840,20800,20,20780,0,-,-,1,0,0.005906787088906673,0.01897245366808099,0.042731629392971246,4160,2169440,0,-,-,208,0,1.2260965664418297,3.9406423813397384,8.87686368477105
person-controller,arat-rl,run-20240531-214421,17900,7743,806,9351,-,-,8,36,0.03333333333333333,0.7318435754189944,0.8172043010752689,675470,84505,851025,-,-,1408,5459,5.799999999999989,129.0223463687148,143.56989247311796
restcountries,schemathesis,run-20240603-145539,16300,1176,15052,72,-,-,9,1,0.7681818181818182,0.7108655616942909,0.8295454545454546,99296,1231437,5867,-,-,1399,152,118.64999999999975,110.76243093922646,130.47727272727258
scs,restler,run-20240604-222417,21000,19428,1572,0,-,-,11,0,0.3492063492063492,0.6135593220338983,0.717948717948718,1956946,258554,0,-,-,2218,0,70.6071428571428,124.15593220338941,145.66666666666663
project-tracking-system,restler,run-20240604-215505,21700,9866,11468,366,-,-,19,1,0.041666666666666664,0.30585516178736516,0.38155136268343814,858959,1499603,6738,-,-,3351,217,8.739583333333346,64.44992295839732,79.11530398322864
ncs,deeprest-e20-s20,run-20240601-114916,22000,15805,6195,0,-,-,6,0,0.8630952380952381,0.9272727272727272,0.8620689655172413,1742682,688318,0,-,-,1314,0,181.8571428571432,198.3527272727279,188.41379310344777
blog,schemathesis,run-20240603-233924,25900,2255,20352,3293,-,-,14,7,0.03015075376884422,0.37542087542087543,0.33771353482260186,307757,2585910,473333,-,-,3351,1724,7.560929648241239,94.16666666666681,84.14323258869901
restcountries,deeprest-e20-s20,run-20240605-105949,16300,11840,4341,119,-,-,20,1,0.8863636363636364,0.7716390423572744,0.8465909090909091,948553,378693,9354,-,-,3191,159,139.97727272727246,124.3020257826892,137.4659090909088
market,arat-rl,run-20240531-203857,20100,10641,4334,5125,-,-,10,15,0.01968503937007874,0.27379873073436084,0.35135135135135137,1077981,435918,516201,-,-,1936,2889,3.8110236220472387,54.17225747960121,69.5783783783787
features-service,morest,run-20240604-202136,16400,78,168,16154,-,-,9,5,0.2261904761904762,0.5076586433260394,0.5433526011560693,12585,12849,1327566,-,-,1463,817,36.42857142857128,82.07877461706777,87.81502890173405
user-management,resttestgen,run-20240601-142403,21000,578,12662,7760,-,-,11,2,0.09447983014861996,0.6424050632911392,0.4830097087378641,66681,1324289,824530,-,-,2065,416,18.133757961783477,126.54113924050614,98.1165048543693
languagetool,schemathesis,run-20240603-161354,20800,685,11781,8334,-,-,1,4,0.0064403033420982435,0.019368171125816167,0.042731629392971246,70795,1230558,872247,-,-,206,832,1.3393544453336401,4.02550179172072,8.875665601703957
user-management,resttestgen,run-20240531-155353,21000,619,12199,8182,-,-,11,3,0.09341825902335456,0.6360759493670886,0.48058252427184467,74310,1287762,853428,-,-,2097,610,17.740976645435307,124.53797468354377,97.67718446601911
genome-nexus,deeprest-e20-s20,run-20240601-142953,3900,3112,788,0,-,-,22,0,0.3669724770642202,0.425584765058994,0.36942675159235666,60980,17020,0,-,-,810,0,12.457304163726182,15.49679155454358,13.487550665894622
project-tracking-system,arat-rl,run-20240531-213500,21700,3562,17551,587,-,-,39,1,0.11458333333333333,0.3844375963020031,0.5178197064989518,356017,1949005,60278,-,-,7053,217,22.59374999999996,80.02157164869057,106.13626834381596
user-management,deeprest-e20-s20,run-20240602-075910,21000,835,14030,6135,-,-,11,3,0.09660297239915075,0.6819620253164557,0.5121359223300971,148956,1407468,659076,-,-,2284,556,19.783439490445808,135.29746835443072,103.08737864077675
genome-nexus,deeprest-e20-s20,run-20240601-120427,3900,2948,952,0,-,-,23,0,0.40649258997882853,0.46739805423307806,0.40764331210191085,58474,19526,0,-,-,832,0,14.572335920959778,17.386255433657627,15.159235668789808
languagetool,restler,run-20240605-131316,20800,20574,226,0,-,-,1,0,0.005792462177508479,0.01884054784883593,0.042731629392971246,2148488,25112,0,-,-,208,0,1.204832132921768,3.9188339525578906,8.888178913738036
project-tracking-system,restler,run-20240604-205638,21700,9866,11468,366,-,-,19,1,0.041666666666666664,0.30585516178736516,0.38155136268343814,858959,1499603,6738,-,-,3351,217,8.739583333333346,64.45762711864386,79.12788259958084
ncs,schemathesis,run-20240603-164306,22000,12842,9158,0,-,-,5,0,0.48214285714285715,0.56,0.7241379310344828,1412543,1018457,0,-,-,1095,0,104.9583333333335,122.08727272727306,158.0689655172407
project-tracking-system,arat-rl,run-20240601-114215,21700,3581,17550,569,-,-,36,1,0.11458333333333333,0.38212634822804314,0.5115303983228512,354285,1949773,61242,-,-,6820,211,22.72916666666664,80.46533127889049,106.92872117400402
market,schemathesis,run-20240603-155403,20100,4373,5945,9782,-,-,9,3,0.017716535433070866,0.26518585675430645,0.34324324324324323,434445,610905,984750,-,-,1798,601,3.547244094488184,53.067089755213196,68.60270270270266
user-management,arat-rl,run-20240602-133142,21000,2492,12664,5844,-,-,12,3,0.09023354564755838,0.6693037974683544,0.5218446601941747,287300,1311929,616271,-,-,2443,532,18.352441613588116,134.5158227848107,105.34951456310701
project-tracking-system,schemathesis,run-20240603-151200,21700,5765,11020,4915,-,-,21,1,0.03125,0.3050847457627119,0.4025157232704403,637216,1208447,519637,-,-,4411,217,6.78125,65.88906009245005,86.50104821802934
scs,schemathesis,run-20240603-154332,21000,20535,465,0,-,-,11,0,0.31746031746031744,0.5932203389830508,0.717948717948718,2166616,48884,0,-,-,2307,0,66.53571428571412,124.30847457627065,150.4358974358975
restcountries,morest,run-20240603-155733,16300,1214,14960,126,-,-,21,1,0.8818181818181818,0.7753222836095764,0.8465909090909091,98097,1228641,9862,-,-,3263,157,138.24090909090864,121.64640883977944,130.60227272727244
features-service,schemathesis,run-20240603-155843,16400,8637,1640,6123,-,-,6,6,0.13095238095238096,0.387308533916849,0.3988439306358382,702500,139464,511036,-,-,980,978,21.440476190476172,63.393873085339294,65.219653179191
market,restler,run-20240604-193714,20100,9635,1268,9197,-,-,9,10,0.017716535433070866,0.2665457842248413,0.34459459459459457,635587,158285,1236228,-,-,1607,1884,3.405511811023617,50.48458748866716,64.37972972972983
scs,deeprest-e20-s20,run-20240531-163926,21000,19581,1419,0,-,-,11,0,0.45634920634920634,0.6745762711864407,0.717948717948718,2055841,159659,0,-,-,2300,0,83.36507936507907,133.17966101694918,149.89743589743594
features-service,arat-rl,run-20240531-161605,16400,7343,1173,7884,-,-,18,11,0.6071428571428571,0.8096280087527352,0.7861271676300579,599371,94473,659156,-,-,2766,1482,81.29761904761904,123.64332603938759,123.57803468208074
market,arat-rl,run-20240601-125356,20100,10608,4427,5065,-,-,10,15,0.023622047244094488,0.27787851314596557,0.35945945945945945,1076099,444586,509415,-,-,1992,2897,4.499999999999994,55.14913871260183,71.20405405405388
languagetool,arat-rl,run-20240601-125946,20800,10195,9340,1265,-,-,2,8,0.18768339621203461,0.356475476509772,0.35396698615548455,1019647,1016252,137701,-,-,404,1304,29.393696886551552,55.29513927056089,55.61075612353577
blog,arat-rl,run-20240602-130931,25900,3530,14758,7612,-,-,19,11,0.0414572864321608,0.4562289562289562,0.40473061760841,382565,2025503,958932,-,-,4100,2449,9.83731155778896,111.05134680134663,98.46386333771314
ncs,morest,run-20240605-090522,22000,9406,12594,0,-,-,6,0,0.8571428571428571,0.96,0.8620689655172413,1067747,1363253,0,-,-,1319,0,186.44642857142904,208.54181818181846,188.275862068965
languagetool,arat-rl,run-20240531-210809,20800,10386,8746,1668,-,-,2,8,0.18246255859151708,0.34064677820036493,0.3379925452609159,1079196,910407,183997,-,-,415,1440,33.493159559468026,63.90452217116977,61.28474440894575
restcountries,restler,run-20240605-132237,16300,814,15465,21,-,-,3,1,0.6454545454545455,0.6795580110497238,0.8352272727272727,71269,1263579,1752,-,-,483,155,101.24090909090894,107.23572744014707,132.68749999999957
person-controller,morest,run-20240604-220313,17900,1914,188,15798,-,-,8,6,0.03333333333333333,0.4860335195530726,0.5161290322580645,217540,7236,1386224,-,-,1431,963,4.116666666666658,86.11173184357565,91.99999999999993
genome-nexus,arat-rl,run-20240531-154433,3900,1870,1494,536,-,-,19,1,0.22018348623853212,0.3200165597184848,0.27388535031847133,36028,30946,11026,-,-,722,39,7.613267466478479,11.660111778099782,10.1627099015634
blog,morest,run-20240605-184250,25900,245,21352,4303,-,-,11,6,0.029522613065326633,0.3838383838383838,0.3088042049934297,40571,2780026,546403,-,-,2679,1539,7.292085427135689,96.87289562289527,78.5834428383707
languagetool,arat-rl,run-20240601-111524,20800,10418,9035,1347,-,-,2,10,0.18029038527495142,0.3395915316464045,0.33240149094781685,1076056,960686,136858,-,-,412,1412,33.38794253267791,64.44920526743904,61.73016506922275
ncs,deeprest-e20-s20,run-20240531-173235,22000,15923,6077,0,-,-,6,0,0.8690476190476191,0.9163636363636364,0.8620689655172413,1762357,668643,0,-,-,1317,0,184.51785714285754,195.94181818181806,189.275862068965
person-controller,resttestgen,run-20240601-204417,17900,3540,129,14231,-,-,8,24,0.03333333333333333,0.7318435754189944,0.8172043010752689,306184,22317,1282499,-,-,1407,3959,5.583333333333324,129.8882681564243,145.01075268817172
person-controller,deeprest-e20-s20,run-20240605-134008,17900,9651,637,7612,-,-,8,23,0.03333333333333333,0.7318435754189944,0.8172043010752689,901732,60442,648826,-,-,1428,3554,5.9499999999999895,129.79329608938522,144.98924731182754
market,resttestgen,run-20240531-213240,20100,3576,12407,4117,-,-,11,20,0.04133858267716536,0.2964641885766092,0.37027027027027026,376419,1236455,417226,-,-,2144,2955,6.7303149606299435,58.24524025385332,73.31621621621602
project-tracking-system,deeprest-e20-s20,run-20240531-171134,21700,8229,12639,832,-,-,47,1,0.125,0.38906009244992296,0.5303983228511531,878243,1401687,85370,-,-,9108,215,24.354166666666668,83.34437596302017,113.26834381551397
ncs,schemathesis,run-20240603-163345,22000,13292,8708,0,-,-,6,0,0.5357142857142857,0.7381818181818182,0.8620689655172413,1464088,966912,0,-,-,1316,0,117.08928571428625,161.45090909090914,188.6206896551719
languagetool,schemathesis,run-20240603-234624,20800,688,11788,8324,-,-,1,5,0.010746541671430205,0.02433662365071339,0.04898828541001065,71415,1231618,870567,-,-,207,1040,2.2351663427460893,5.060478818123839,10.183306709265153
ncs,arat-rl,run-20240531-151631,22000,10348,11652,0,-,-,6,0,0.8571428571428571,0.9163636363636364,0.8620689655172413,1138476,1292524,0,-,-,1314,0,174.78571428571442,194.11272727272706,187.58620689655123
project-tracking-system,morest,run-20240605-102006,21700,162,21125,413,-,-,17,1,0.041666666666666664,0.29583975346687214,0.3836477987421384,18308,2300857,46135,-,-,2904,216,8.958333333333341,62.935285053929114,79.62473794549251
ncs,morest,run-20240604-204238,22000,7662,14338,0,-,-,5,0,0.6071428571428571,0.6690909090909091,0.7241379310344828,881423,1549577,0,-,-,1099,0,132.1011904761908,145.82909090909095,158.20689655172345
restcountries,morest,run-20240604-202037,16300,1118,15081,101,-,-,21,1,0.8772727272727273,0.7458563535911602,0.7670454545454546,94126,1234415,8059,-,-,3313,161,137.5136363636362,118.6519337016577,122.80681818181802
features-service,schemathesis,run-20240603-145909,16400,8730,1563,6107,-,-,6,6,0.13095238095238096,0.387308533916849,0.3988439306358382,724235,122346,506419,-,-,979,976,21.452380952380935,63.330415754923536,65.1445086705205
market,deeprest-e20-s20,run-20240531-154803,20100,13515,5699,886,-,-,12,15,0.047244094488188976,0.3023572076155938,0.37432432432432433,1402712,528376,99012,-,-,2391,2827,9.263779527559041,60.39709882139609,74.73648648648654
restcountries,arat-rl,run-20240601-195734,16300,3941,12205,154,-,-,18,1,0.8681818181818182,0.7642725598526704,0.8465909090909091,328504,992599,15497,-,-,2847,162,129.4409090909093,119.27440147329645,134.60795454545445
project-tracking-system,arat-rl,run-20240531-180737,21700,3610,17684,406,-,-,40,1,0.11458333333333333,0.38751926040061635,0.5241090146750524,360321,1957964,47015,-,-,7429,217,23.15624999999997,81.64714946070902,109.0859538784065
scs,deeprest-e20-s20,run-20240601-143914,21000,19419,1581,0,-,-,11,0,0.4444444444444444,0.6779661016949152,0.717948717948718,2046481,169019,0,-,-,2297,0,86.77777777777759,137.013559322034,150.00000000000003
genome-nexus,schemathesis,run-20240603-221038,3900,3176,604,120,-,-,15,1,0.187014820042343,0.28855309459739187,0.2565141864504922,64003,11629,2368,-,-,559,39,7.142554693013407,11.15524736079486,9.877243775332946
person-controller,morest,run-20240604-204501,17900,855,445,16600,-,-,6,7,0.016666666666666666,0.4245810055865922,0.45161290322580644,79517,40151,1491332,-,-,1070,1251,2.8999999999999946,75.4972067039103,80.1290322580647
features-service,resttestgen,run-20240601-112704,16400,8055,874,7471,-,-,18,13,0.44047619047619047,0.7702407002188184,0.7803468208092486,631698,72254,649048,-,-,2636,1585,64.30952380952387,117.88840262582049,119.09248554913287
restcountries,arat-rl,run-20240531-190826,16300,4362,11834,104,-,-,19,1,0.8636363636363636,0.7642725598526704,0.8465909090909091,360517,967574,8509,-,-,2975,160,131.5954545454543,121.06261510128911,136.3693181818179
market,morest,run-20240604-192053,20100,2430,14730,2940,-,-,9,2,0.017716535433070866,0.26246600181323665,0.33918918918918917,250550,1483669,295881,-,-,1806,402,3.5433070866141683,52.56346328195843,67.914864864865
scs,schemathesis,run-20240603-161244,21000,20520,480,0,-,-,11,0,0.3253968253968254,0.5898305084745763,0.717948717948718,2163469,52031,0,-,-,2307,0,68.19444444444416,123.60000000000018,150.4358974358975
market,deeprest-e20-s20,run-20240531-171614,20100,14476,4522,1102,-,-,12,13,0.047244094488188976,0.3023572076155938,0.37432432432432433,1451655,455390,123055,-,-,2370,2483,9.102362204724397,60.10562103354477,74.37297297297303
project-tracking-system,resttestgen,run-20240531-201905,21700,957,20033,710,-,-,39,1,0.10416666666666667,0.3844375963020031,0.5241090146750524,120062,2170156,75082,-,-,7262,215,22.270833333333368,81.75346687211095,110.35639412997884
project-tracking-system,deeprest-e20-s20,run-20240604-215132,21700,8034,13056,610,-,-,45,1,0.10416666666666667,0.38751926040061635,0.5283018867924528,851612,1450021,63667,-,-,8983,216,22.093750000000032,83.06933744221907,112.42557651991586
blog,resttestgen,run-20240602-125530,25900,1898,13065,10937,-,-,21,11,0.03768844221105527,0.45454545454545453,0.39947437582128775,224774,1670775,1471451,-,-,5236,2179,9.245603015075327,113.82828282828251,100.68199737187854
user-management,arat-rl,run-20240531-205958,21000,2854,12072,6074,-,-,12,4,0.09023354564755838,0.6708860759493671,0.5218446601941747,308071,1281698,625731,-,-,2442,739,18.320594479830152,135.02215189873434,105.50242718446627
languagetool,resttestgen,run-20240601-142733,20800,3689,15696,1415,-,-,2,7,0.1982775046682672,0.350869479191857,0.3397231096911608,382490,1643867,147243,-,-,416,1207,37.03494531458408,66.64693209048743,63.109424920127985
scs,schemathesis,run-20240604-000508,21000,20533,467,0,-,-,11,0,0.2976190476190476,0.5627118644067797,0.6923076923076923,2166197,49303,0,-,-,2307,0,62.39285714285747,117.90508474576264,145.02564102564088
project-tracking-system,morest,run-20240603-144729,21700,163,21121,416,-,-,19,1,0.041666666666666664,0.3035439137134052,0.39622641509433965,21399,2299554,44347,-,-,3394,212,8.791666666666677,64.00847457627108,81.98742138364756
features-service,resttestgen,run-20240531-162045,16400,8202,764,7434,-,-,18,11,0.4523809523809524,0.7702407002188184,0.7745664739884393,618149,66976,667875,-,-,2340,1607,49.91666666666667,104.577680525164,107.64739884393087
blog,restler,run-20240605-201128,25900,1272,21896,2732,-,-,14,8,0.038944723618090454,0.4116161616161616,0.37056504599211565,135168,2764213,467619,-,-,2118,1989,8.392587939698505,92.04292929292912,78.99080157687277
person-controller,deeprest-e20-s20,run-20240605-135959,17900,9541,757,7602,-,-,8,22,0.03333333333333333,0.7318435754189944,0.8172043010752689,898459,71649,640892,-,-,1430,3518,5.933333333333322,130.675977653631,145.89247311827924
project-tracking-system,arat-rl,run-20240531-195541,21700,3601,17542,557,-,-,41,1,0.11458333333333333,0.3844375963020031,0.5178197064989518,358978,1953827,52495,-,-,6708,217,20.52083333333333,79.88366718027758,106.09853249475928
ncs,deeprest-e20-s20,run-20240531-160054,22000,16014,5986,0,-,-,6,0,0.8452380952380952,0.8981818181818182,0.8620689655172413,1762073,668927,0,-,-,1316,0,181.11904761904796,194.3381818181824,188.93103448275812
features-service,arat-rl,run-20240531-170103,16400,5451,2879,8070,-,-,17,9,0.5238095238095238,0.7527352297592997,0.7398843930635838,471694,187021,694285,-,-,2688,1435,75.51190476190467,118.62582056892754,118.39884393063632
scs,arat-rl,run-20240531-173936,21000,18607,2393,0,-,-,11,0,0.4444444444444444,0.6474576271186441,0.717948717948718,1963735,251765,0,-,-,2310,0,86.92857142857115,132.05423728813574,149.58974358974362
project-tracking-system,resttestgen,run-20240531-212540,21700,884,20068,748,-,-,41,1,0.10416666666666667,0.3882896764252696,0.5283018867924528,112305,2169399,83596,-,-,6526,215,21.854166666666696,81.27580893682608,108.61635220125775
genome-nexus,arat-rl,run-20240531-165657,3900,1945,1492,463,-,-,19,1,0.2018348623853211,0.3042848271579383,0.26635784597568035,36789,30819,10392,-,-,694,39,7.365561044460129,11.358931898157724,9.980891719745216
restcountries,restler,run-20240605-134228,16300,1145,15135,20,-,-,3,1,0.6454545454545455,0.6795580110497238,0.8352272727272727,89731,1245166,1703,-,-,483,155,101.30909090909076,107.2909760589316,132.72727272727232
ncs,morest,run-20240603-162905,22000,4803,17197,0,-,-,6,0,0.7559523809523809,0.88,0.8620689655172413,826360,1604640,0,-,-,1183,0,143.20833333333323,157.22909090909096,169.5172413793099
blog,morest,run-20240606-054513,25900,278,21346,4276,-,-,11,6,0.029522613065326633,0.38215488215488214,0.3088042049934297,44361,2769059,553580,-,-,2620,1547,7.479899497487447,97.1111111111107,78.95663600525636
scs,deeprest-e20-s20,run-20240531-193330,21000,19550,1450,0,-,-,11,0,0.5119047619047619,0.6915254237288135,0.717948717948718,2066181,149319,0,-,-,2300,0,100.94047619047595,142.28813559322046,149.7692307692308
user-management,arat-rl,run-20240601-204637,21000,2782,12017,6201,-,-,12,2,0.09023354564755838,0.6550632911392406,0.5145631067961165,309758,1284204,621538,-,-,2405,419,18.117834394904456,127.96518987341757,100.41990291262123
person-controller,schemathesis,run-20240603-223250,17900,5800,483,11617,-,-,5,8,0.0,0.5698324022346368,0.6344086021505376,521193,43347,1046460,-,-,895,1428,0.0,102.00000000000021,113.55913978494658
user-management,morest,run-20240606-041838,21000,378,12764,7858,-,-,12,3,0.06794055201698514,0.5474683544303798,0.38106796116504854,55194,1336778,823528,-,-,2492,627,14.010615711252653,113.57436708860742,79.26456310679613
blog,schemathesis,run-20240603-141116,25900,1910,20953,3037,-,-,14,6,0.03015075376884422,0.3771043771043771,0.34296977660972405,264992,2686589,415419,-,-,3416,1508,7.61809045226134,95.5597643097638,86.41261498028854
user-management,deeprest-e20-s20,run-20240602-125900,21000,873,12638,7489,-,-,10,2,0.09341825902335456,0.6756329113924051,0.5145631067961165,139428,1362899,713173,-,-,1973,419,18.596602972399257,132.78322784810095,102.82766990291248
languagetool,morest,run-20240605-110539,20800,20,20780,0,-,-,1,0,0.005906787088906673,0.01897245366808099,0.042731629392971246,4160,2169440,0,-,-,208,0,1.2235814183910694,3.9350143997186158,8.865548455804063
ncs,restler,run-20240604-210559,22000,16637,5363,0,-,-,6,0,0.6607142857142857,0.7381818181818182,0.7931034482758621,1564936,866064,0,-,-,1287,0,141.369047619048,159.0909090909091,171.27586206896578
languagetool,restler,run-20240605-130506,20800,20574,226,0,-,-,1,0,0.005792462177508479,0.01884054784883593,0.042731629392971246,2148488,25112,0,-,-,208,0,1.204832132921768,3.9188339525578906,8.888178913738036
person-controller,resttestgen,run-20240531-162525,17900,3410,120,14370,-,-,8,25,0.03333333333333333,0.7318435754189944,0.8172043010752689,300657,19600,1290743,-,-,1407,3893,5.59999999999999,129.78212290502765,144.83870967741905
person-controller,arat-rl,run-20240531-205628,17900,7695,778,9427,-,-,8,36,0.03333333333333333,0.7318435754189944,0.8172043010752689,669134,78416,863450,-,-,1415,5681,5.899999999999989,129.7150837988824,144.67741935483838
person-controller,morest,run-20240603-154442,17900,853,441,16606,-,-,6,7,0.016666666666666666,0.4245810055865922,0.45161290322580644,77184,41388,1492428,-,-,1071,1252,2.9499999999999944,75.56424581005554,80.19354838709695
user-management,resttestgen,run-20240602-080020,21000,547,13093,7360,-,-,11,2,0.09235668789808917,0.6360759493670886,0.48058252427184467,65137,1350903,799460,-,-,2213,416,18.753715498938444,130.58544303797422,99.92233009708696
person-controller,deeprest-e20-s20,run-20240605-100235,17900,9676,778,7446,-,-,8,24,0.03333333333333333,0.7318435754189944,0.8172043010752689,909369,74031,627600,-,-,1427,3310,5.899999999999989,130.70949720670362,145.9354838709674
languagetool,deeprest-e20-s20,run-20240601-141552,20800,16496,4273,31,-,-,2,4,0.22712549064441143,0.37845977971728184,0.3568956336528222,1739185,431226,3189,-,-,416,646,44.403338287412815,75.94062039703648,71.85090521831742
scs,deeprest-e20-s20,run-20240531-175006,21000,19560,1440,0,-,-,11,0,0.4444444444444444,0.6644067796610169,0.717948717948718,2059951,155549,0,-,-,2298,0,85.44444444444444,134.5559322033902,149.92307692307696
ncs,resttestgen,run-20240601-123444,22000,2185,19815,0,-,-,6,0,0.8511904761904762,0.9054545454545454,0.8620689655172413,240454,2190546,0,-,-,1319,0,174.70238095238128,192.2254545454545,188.9655172413788
