api,tool,run,interactions,2XX,4XX,5XX,401,403,covered_operations,unique_5XX,branch_coverage,line_coverage,method_coverage,area_2XX,area_4XX,area_5XX,area_401,area_403,area_covered_operations,area_unique_5XX,area_branch_coverage,area_line_coverage,area_method_coverage
person-controller,resttestgen,run-20240531-192409,17900,3528,142,14230,-,-,8,26,0.03333333333333333,0.7318435754189944,0.8172043010752689,311405,23493,1276102,-,-,1409,4129,5.633333333333323,129.8659217877092,144.9354838709674
genome-nexus,schemathesis,run-20240603-230650,3900,3149,643,108,-,-,15,1,0.17501764290755117,0.2813082177602981,0.25130283729009845,62368,13644,1988,-,-,550,37,6.504587155963309,10.693438211550399,9.524609148812967
scs,deeprest-e20-s20,run-20240601-124105,21000,19640,1360,0,-,-,11,0,0.44841269841269843,0.6745762711864407,0.717948717948718,2065536,149964,0,-,-,2300,0,90.95634920634895,138.97966101694917,150.00000000000003
ncs,deeprest-e20-s20,run-20240601-122822,22000,15990,6010,0,-,-,6,0,0.8809523809523809,0.9454545454545454,0.8620689655172413,1755518,675482,0,-,-,1315,0,182.1190476190478,197.43999999999988,189.10344827586155
scs,arat-rl,run-20240531-180147,21000,18633,2367,0,-,-,11,0,0.4126984126984127,0.6305084745762712,0.717948717948718,1966173,249327,0,-,-,2310,0,83.32539682539698,130.50169491525463,149.58974358974362
person-controller,morest,run-20240605-104658,17900,2053,687,15160,-,-,8,5,0.03333333333333333,0.4860335195530726,0.5161290322580645,172573,60439,1377988,-,-,1411,895,5.566666666666657,86.59776536312874,91.99999999999993
project-tracking-system,deeprest-e20-s20,run-20240603-225134,21700,9031,11499,1170,-,-,44,1,0.10416666666666667,0.3859784283513097,0.5262054507337526,961637,1287610,116053,-,-,9048,217,22.1666666666667,82.91679506933721,112.37945492662512
features-service,restler,run-20240604-193123,16400,12846,877,2677,-,-,11,6,0.19047619047619047,0.48358862144420134,0.5202312138728323,896100,105567,351333,-,-,1671,956,30.416666666666593,77.54704595185973,82.96531791907523
features-service,deeprest-e20-s20,run-20240531-182509,16400,9059,526,6815,-,-,16,13,0.32142857142857145,0.6695842450765864,0.6994219653179191,743286,45529,564185,-,-,2427,1755,50.33333333333329,106.73085339168526,112.08092485549165
blog,deeprest-e20-s20,run-20240531-183505,25900,5465,13463,6972,-,-,25,12,0.04585427135678392,0.5218855218855218,0.4454664914586071,749108,1738051,879841,-,-,5265,2834,10.425879396984957,121.74326599326585,106.06701708278554
